datetime,library,opening_type,people_in,people_out
2020-01-01 00:00:00,Chipping Barnet,closed,0,0
2020-01-01 00:00:00,Colindale,closed,0,0
2020-01-01 00:00:00,Edgware,closed,0,0
2020-01-01 00:00:00,Finchley Church End,closed,0,0
2020-01-01 00:00:00,Golders Green,closed,0,0
2020-01-01 00:00:00,North Finchley,closed,0,0
2020-01-01 00:00:00,Osidge,closed,0,0
2020-01-01 01:00:00,Chipping Barnet,closed,0,0
2020-01-01 01:00:00,Colindale,closed,0,0
2020-01-01 01:00:00,Edgware,closed,0,0
2020-01-01 01:00:00,Finchley Church End,closed,0,0
2020-01-01 01:00:00,Golders Green,closed,0,0
2020-01-01 01:00:00,North Finchley,closed,0,0
2020-01-01 01:00:00,Osidge,closed,0,0
2020-01-01 02:00:00,Chipping Barnet,closed,0,0
2020-01-01 02:00:00,Colindale,closed,0,0
2020-01-01 02:00:00,Edgware,closed,0,0
2020-01-01 02:00:00,Finchley Church End,closed,0,0
2020-01-01 02:00:00,Golders Green,closed,0,0
2020-01-01 02:00:00,North Finchley,closed,0,0
2020-01-01 02:00:00,Osidge,closed,0,0
2020-01-01 03:00:00,Chipping Barnet,closed,0,0
2020-01-01 03:00:00,Colindale,closed,0,0
2020-01-01 03:00:00,Edgware,closed,0,0
2020-01-01 03:00:00,Finchley Church End,closed,0,0
2020-01-01 03:00:00,Golders Green,closed,0,0
2020-01-01 03:00:00,North Finchley,closed,0,0
2020-01-01 03:00:00,Osidge,closed,0,0
2020-01-01 04:00:00,Chipping Barnet,closed,0,0
2020-01-01 04:00:00,Colindale,closed,0,0
2020-01-01 04:00:00,Edgware,closed,0,0
2020-01-01 04:00:00,Finchley Church End,closed,0,0
2020-01-01 04:00:00,Golders Green,closed,0,0
2020-01-01 04:00:00,North Finchley,closed,0,0
2020-01-01 04:00:00,Osidge,closed,0,0
2020-01-01 05:00:00,Chipping Barnet,closed,0,0
2020-01-01 05:00:00,Colindale,closed,0,0
2020-01-01 05:00:00,Edgware,closed,0,0
2020-01-01 05:00:00,Finchley Church End,closed,0,0
2020-01-01 05:00:00,Golders Green,closed,0,0
2020-01-01 05:00:00,North Finchley,closed,0,0
2020-01-01 05:00:00,Osidge,closed,0,0
2020-01-01 06:00:00,Chipping Barnet,closed,0,0
2020-01-01 06:00:00,Colindale,closed,0,0
2020-01-01 06:00:00,Edgware,closed,0,0
2020-01-01 06:00:00,Finchley Church End,closed,0,0
2020-01-01 06:00:00,Golders Green,closed,0,0
2020-01-01 06:00:00,North Finchley,closed,0,0
2020-01-01 06:00:00,Osidge,closed,0,0
2020-01-01 07:00:00,Chipping Barnet,SSO,0,0
2020-01-01 07:00:00,Colindale,SSO,0,0
2020-01-01 07:00:00,Edgware,SSO,0,0
2020-01-01 07:00:00,Finchley Church End,SSO,0,0
2020-01-01 07:00:00,Golders Green,closed,0,0
